object,,start,start_sec,end,end_sec,duration,duration_sec
dice,,00:00.2,0.246,00:02.2,2.196,00:02.0,1.95
dice,,00:37.3,37.344,00:39.4,39.393,00:02.0,2.049
dice,,01:04.8,64.765,01:08.0,67.976,00:03.2,3.211
dice,,01:34.1,94.142,01:36.6,96.567,00:02.4,2.425
dice,,01:56.3,116.285,01:58.8,118.757,00:02.5,2.472
dice,,02:15.0,134.961,02:18.7,138.689,00:03.7,3.728
dice,,02:39.5,159.512,02:42.3,162.266,00:02.8,2.754
dice,,03:02.5,182.483,03:03.0,183.047,00:00.6,0.564
dice,,03:03.2,183.181,03:03.9,183.898,00:00.7,0.717
dice,,03:04.2,184.167,03:05.2,185.202,00:01.0,1.035
key,,00:04.1,4.106,00:05.9,5.893,00:01.8,1.787
key,,00:17.2,17.222,00:19.4,19.43,00:02.2,2.208
key,,00:33.5,33.511,00:36.1,36.053,00:02.5,2.542
key,,01:10.8,70.836,01:13.8,73.753,00:02.9,2.917
key,,01:42.9,102.949,01:44.6,104.579,00:01.6,1.63
key,,02:20.7,140.739,02:23.9,143.863,00:03.1,3.124
key,,02:45.4,165.4,02:48.4,168.432,00:03.0,3.032
key,,03:05.5,185.503,03:07.9,187.858,00:02.4,2.355
map,,00:13.7,13.705,00:16.7,16.669,00:03.0,2.964
map,,00:50.9,50.919,00:53.4,53.41,00:02.5,2.491
map,,01:16.3,76.253,01:19.5,79.5,00:03.2,3.247
map,,02:00.1,120.147,02:03.1,123.084,00:02.9,2.937
map,,02:03.5,123.453,02:03.8,123.799,00:00.3,0.346
map,,02:35.6,155.566,02:37.8,157.846,00:02.3,2.28
ball,,00:07.1,7.098,00:08.9,8.856,00:01.8,1.758
ball,,00:20.6,20.649,00:23.8,23.793,00:03.1,3.144
ball,,00:29.6,29.65,00:31.8,31.833,00:02.2,2.183
ball,,00:42.2,42.17,00:44.6,44.625,00:02.5,2.455
ball,,00:59.9,59.851,01:02.6,62.553,00:02.7,2.702
ball,,01:31.4,91.447,01:33.9,93.898,00:02.5,2.451
ball,,01:38.0,98.034,01:40.6,100.59,00:02.6,2.556
ball,,01:50.2,110.238,01:53.2,113.237,00:03.0,2.999
ball,,02:04.7,124.737,02:05.6,125.575,00:00.8,0.838
ball,,02:06.1,126.092,02:08.6,128.611,00:02.5,2.519
ball,,02:26.3,146.335,02:26.4,146.402,00:00.1,0.067
ball,,02:26.5,146.469,02:29.6,149.555,00:03.1,3.086
ball,,02:52.7,172.749,02:55.3,175.305,00:02.6,2.556
ball,,03:15.9,195.877,03:19.3,199.278,00:03.4,3.401
card,,00:09.6,9.557,00:10.5,10.45,00:00.9,0.893
card,,00:10.8,10.757,00:12.6,12.569,00:01.8,1.812
card,,00:46.2,46.171,00:48.3,48.252,00:02.1,2.081
card,,00:55.1,55.139,00:58.0,57.969,00:02.8,2.83
card,,01:21.7,81.749,01:25.0,84.955,00:03.2,3.206
card,,01:45.5,105.467,01:48.7,108.713,00:03.2,3.246
card,,02:32.8,152.751,02:34.9,154.945,00:02.2,2.194
card,,02:55.9,175.919,02:58.8,178.755,00:02.8,2.836
face,,00:24.0,24.011,00:25.6,25.579,00:01.6,1.568
face,,00:28.5,28.507,00:28.9,28.942,00:00.4,0.435
face,,00:32.2,32.245,00:33.3,33.284,00:01.0,1.039
face,,00:36.3,36.298,00:37.2,37.203,00:00.9,0.905
face,,00:39.6,39.603,00:41.9,41.924,00:02.3,2.321
face,,00:44.9,44.869,00:45.7,45.707,00:00.8,0.838
face,,01:02.8,62.841,01:04.6,64.58,00:01.7,1.739
face,,01:08.3,68.316,01:09.2,69.188,00:00.9,0.872
face,,01:09.4,69.355,01:09.7,69.724,00:00.4,0.369
face,,01:09.8,69.791,01:10.3,70.327,00:00.5,0.536
face,,01:28.5,88.486,01:30.8,90.832,00:02.3,2.346
face,,01:53.5,113.524,01:55.7,115.717,00:02.2,2.193
face,,02:10.6,130.639,02:12.6,132.606,00:02.0,1.967
face,,02:42.4,162.367,02:45.0,164.98,00:02.6,2.613
face,,02:48.7,168.717,02:50.3,170.282,00:01.6,1.565
face,,02:59.2,179.212,03:01.9,181.945,00:02.7,2.733
face,,03:08.0,188.039,03:08.2,188.24,00:00.2,0.201
face,,03:14.4,194.422,03:15.6,195.591,00:01.2,1.169
uncertain,,00:25.8,25.786,00:28.2,28.186,00:02.4,2.4
uncertain,,03:12.4,192.405,03:13.4,193.351,00:00.9,0.946
