object,,start,start_sec,end,end_sec,duration,duration_sec
dice,,00:05.8,5.767,00:08.0,7.984,00:02.2,2.217
dice,,00:42.9,42.86,00:44.5,44.54,00:01.7,1.68
dice,,01:07.6,67.6,01:10.0,69.951,00:02.4,2.351
dice,,01:38.2,98.242,01:41.1,101.097,00:02.9,2.855
dice,,02:38.9,158.921,02:39.1,159.089,00:00.2,0.168
dice,,03:13.4,193.427,03:16.5,196.451,00:03.0,3.024
dice,,04:02.2,242.201,04:04.5,244.486,00:02.3,2.285
dice,,04:53.3,293.338,04:56.4,296.362,00:03.0,3.024
dice,,06:10.8,370.817,06:12.5,372.497,00:01.7,1.68
dice,,06:31.6,391.581,06:35.1,395.109,00:03.5,3.528
dice,,07:20.4,440.4,07:23.4,443.424,00:03.0,3.024
dice,,08:21.4,501.382,08:23.5,503.465,00:02.1,2.083
dice,,08:31.8,511.831,08:34.3,514.283,00:02.5,2.452
dice,,09:03.3,543.279,09:06.1,546.135,00:02.9,2.856
key,,00:11.1,11.075,00:16.5,16.485,00:05.4,5.41
key,,01:12.4,72.438,01:14.7,74.722,00:02.3,2.284
key,,01:49.5,109.464,01:52.1,112.118,00:02.7,2.654
key,,02:42.7,162.684,02:44.6,164.565,00:01.9,1.881
key,,02:55.2,175.183,02:57.1,177.064,00:01.9,1.881
key,,03:44.5,224.505,03:46.1,226.051,00:01.5,1.546
key,,04:06.3,246.334,04:10.8,250.769,00:04.4,4.435
key,,04:43.2,283.225,04:45.2,285.241,00:02.0,2.016
key,,05:34.8,334.799,05:37.0,337.017,00:02.2,2.218
key,,05:49.4,349.415,05:51.8,351.767,00:02.4,2.352
key,,06:14.6,374.614,06:17.4,377.369,00:02.8,2.755
key,,06:43.5,403.542,06:46.3,406.331,00:02.8,2.789
key,,07:14.1,434.083,07:17.6,437.578,00:03.5,3.495
key,,07:25.8,445.776,07:28.3,448.296,00:02.5,2.52
key,,08:15.9,495.905,08:19.1,499.097,00:03.2,3.192
key,,08:36.3,516.333,08:39.7,519.726,00:03.4,3.393
key,,08:56.9,536.895,08:59.2,539.214,00:02.3,2.319
key,,09:42.4,582.388,09:45.0,585.042,00:02.7,2.654
key,,10:13.5,613.519,10:14.5,614.46,00:00.9,0.941
key,,10:39.7,639.659,10:42.0,642.011,00:02.4,2.352
map,,00:19.5,19.509,00:23.6,23.574,00:04.1,4.065
map,,01:16.8,76.806,01:20.1,80.098,00:03.3,3.292
map,,01:55.4,115.41,01:58.4,118.434,00:03.0,3.024
map,,02:46.2,166.178,02:49.5,169.538,00:03.4,3.36
map,,03:18.8,198.769,03:21.0,200.986,00:02.2,2.217
map,,03:48.3,228.302,03:51.5,231.528,00:03.2,3.226
map,,04:12.5,252.516,04:15.0,255.036,00:02.5,2.52
map,,04:47.9,287.929,04:50.5,290.483,00:02.6,2.554
map,,05:29.6,329.558,05:33.1,333.119,00:03.6,3.561
map,,05:54.3,354.32,05:57.4,357.411,00:03.1,3.091
map,,06:24.7,384.727,06:29.8,389.767,00:05.0,5.04
map,,06:55.3,415.302,06:59.1,419.065,00:03.8,3.763
map,,07:30.5,450.48,07:35.2,455.183,00:04.7,4.703
map,,08:02.0,481.995,08:06.1,486.128,00:04.1,4.133
map,,08:09.4,489.387,08:11.4,491.369,00:02.0,1.982
map,,08:50.2,530.243,08:53.5,533.468,00:03.2,3.225
map,,09:21.9,561.893,09:26.8,566.765,00:04.9,4.872
map,,10:33.9,633.947,10:36.9,636.904,00:03.0,2.957
map,,11:04.7,664.656,11:05.5,665.462,00:00.8,0.806
map,,11:06.8,666.806,11:08.4,668.352,00:01.5,1.546
ball,,00:34.0,33.99,00:39.3,39.332,00:05.3,5.342
ball,,00:50.8,50.767,00:54.7,54.698,00:03.9,3.931
ball,,00:55.6,55.571,01:00.1,60.073,00:04.5,4.502
ball,,01:33.6,93.571,01:36.2,96.192,00:02.6,2.621
ball,,02:07.8,127.842,02:10.6,130.597,00:02.8,2.755
ball,,02:12.6,132.613,02:14.6,134.595,00:02.0,1.982
ball,,02:51.3,171.319,02:53.7,173.704,00:02.4,2.385
ball,,03:28.1,208.109,03:31.4,211.436,00:03.3,3.327
ball,,03:53.4,233.376,03:56.1,236.063,00:02.7,2.687
ball,,04:21.5,261.453,04:24.5,264.511,00:03.1,3.058
ball,,04:30.2,270.223,04:31.5,271.533,00:01.3,1.31
ball,,04:34.1,274.053,04:37.5,277.48,00:03.4,3.427
ball,,05:04.6,304.594,05:07.9,307.92,00:03.3,3.326
ball,,05:20.0,320.016,05:23.1,323.14,00:03.1,3.124
ball,,05:59.8,359.763,06:04.5,364.534,00:04.8,4.771
ball,,06:49.4,409.355,06:53.1,413.084,00:03.7,3.729
ball,,07:42.4,462.407,07:45.9,465.935,00:03.5,3.528
ball,,07:53.5,473.528,07:53.8,473.763,00:00.2,0.235
ball,,07:56.4,476.418,07:59.2,479.173,00:02.8,2.755
ball,,08:42.6,522.582,08:47.0,526.95,00:04.4,4.368
ball,,09:36.6,576.643,09:40.5,580.54,00:03.9,3.897
ball,,09:48.2,588.201,09:50.9,590.889,00:02.7,2.688
ball,,09:55.4,595.391,09:58.6,598.65,00:03.3,3.259
ball,,10:04.4,604.429,10:06.4,606.43,00:02.0,2.001
ball,,10:15.9,615.871,10:18.3,618.256,00:02.4,2.385
ball,,10:29.3,629.344,10:32.5,632.502,00:03.2,3.158
ball,,10:51.7,651.653,10:56.9,656.928,00:05.3,5.275
ball,,11:05.6,665.563,11:06.0,666,00:00.4,0.437
ball,,11:13.4,673.425,11:16.7,676.651,00:03.2,3.226
card,,00:26.2,26.228,00:32.5,32.511,00:06.3,6.283
card,,00:48.3,48.314,00:50.5,50.464,00:02.2,2.15
card,,01:00.1,60.141,01:02.2,62.224,00:02.1,2.083
card,,01:22.2,82.215,01:26.0,86.012,00:03.8,3.797
card,,02:01.8,121.828,02:05.1,125.121,00:03.3,3.293
card,,02:59.1,179.147,03:01.5,181.499,00:02.4,2.352
card,,03:08.5,188.521,03:11.5,191.478,00:03.0,2.957
card,,03:34.2,214.224,03:38.2,218.189,00:04.0,3.965
card,,03:57.6,237.643,03:59.8,239.826,00:02.2,2.183
card,,04:26.4,266.392,04:30.2,270.155,00:03.8,3.763
card,,05:09.8,309.802,05:13.2,313.162,00:03.4,3.36
card,,05:15.5,315.514,05:18.3,318.269,00:02.8,2.755
card,,06:19.1,379.116,06:22.3,382.341,00:03.2,3.225
card,,07:02.1,422.055,07:07.0,427.028,00:05.0,4.973
card,,07:49.3,469.328,07:53.5,473.461,00:04.1,4.133
card,,09:15.7,555.744,09:19.0,559.003,00:03.3,3.259
card,,09:53.2,593.24,09:55.3,595.324,00:02.1,2.084
card,,10:00.4,600.431,10:04.4,604.362,00:03.9,3.931
card,,10:20.6,620.575,10:22.9,622.926,00:02.4,2.351
card,,11:00.1,660.053,11:03.2,663.211,00:03.2,3.158
card,,11:19.4,679.406,11:21.1,681.052,00:01.6,1.646
card,,11:21.3,681.321,11:22.4,682.363,00:01.0,1.042
card,,11:30.4,690.426,11:33.8,693.753,00:03.3,3.327
face,,00:05.2,5.229,00:05.7,5.666,00:00.4,0.437
face,,00:47.3,47.272,00:47.7,47.676,00:00.4,0.404
face,,00:55.1,55.067,00:55.4,55.437,00:00.4,0.37
face,,01:03.8,63.769,01:05.2,65.214,00:01.4,1.445
face,,01:28.1,88.128,01:30.3,90.346,00:02.2,2.218
face,,01:42.9,102.878,01:44.9,104.86,00:02.0,1.982
face,,02:17.4,137.418,02:19.1,139.064,00:01.6,1.646
face,,03:03.1,183.145,03:05.8,185.833,00:02.7,2.688
face,,03:23.4,203.372,03:25.6,205.556,00:02.2,2.184
face,,03:40.2,220.205,03:42.5,222.523,00:02.3,2.318
face,,04:17.0,256.951,04:19.6,259.572,00:02.6,2.621
face,,04:39.1,279.126,04:41.3,281.344,00:02.2,2.218
face,,04:59.0,299.017,05:02.0,301.973,00:03.0,2.956
face,,05:13.7,313.699,05:14.3,314.304,00:00.6,0.605
face,,05:25.0,324.955,05:27.7,327.744,00:02.8,2.789
face,,05:37.8,337.756,05:38.0,337.991,00:00.2,0.235
face,,05:43.6,343.636,05:46.8,346.794,00:03.2,3.158
face,,06:06.7,366.718,06:09.0,369.036,00:02.3,2.318
face,,06:36.9,396.856,06:40.6,400.552,00:03.7,3.696
face,,07:09.6,429.581,07:11.7,431.698,00:02.1,2.117
face,,07:37.7,457.737,07:39.4,459.35,00:01.6,1.613
face,,08:27.4,507.362,08:29.6,509.613,00:02.3,2.251
face,,08:31.5,511.495,08:31.6,511.629,00:00.1,0.134
face,,09:08.4,548.42,09:12.1,552.082,00:03.7,3.662
face,,09:28.3,568.277,09:28.8,568.848,00:00.6,0.571
face,,09:32.0,572.006,09:34.5,574.526,00:02.5,2.52
face,,10:25.1,625.077,10:27.1,627.059,00:02.0,1.982
face,,10:47.5,647.454,10:48.3,648.327,00:00.9,0.873
face,,10:57.2,657.197,10:57.8,657.768,00:00.6,0.571
uncertain,,00:42.6,42.569,00:42.8,42.837,00:00.3,0.268
uncertain,,00:54.7,54.731,00:54.8,54.832,00:00.1,0.101
uncertain,,02:22.7,142.726,02:25.3,145.347,00:02.6,2.621
uncertain,,02:27.4,147.43,02:36.5,156.468,00:09.0,9.038
uncertain,,02:39.1,159.089,02:41.3,161.273,00:02.2,2.184
uncertain,,05:09.2,309.231,05:09.7,309.735,00:00.5,0.504
uncertain,,05:14.3,314.338,05:14.8,314.774,00:00.4,0.436
uncertain,,05:38.8,338.797,05:41.5,341.452,00:02.7,2.655
uncertain,,07:48.7,468.69,07:49.3,469.261,00:00.6,0.571
uncertain,,08:42.4,522.414,08:42.6,522.582,00:00.2,0.168
uncertain,,10:07.8,607.841,10:09.1,609.117,00:01.3,1.276
uncertain,,10:09.2,609.218,10:11.2,611.234,00:02.0,2.016
uncertain,,10:11.7,611.704,10:13.4,613.384,00:01.7,1.68
uncertain,,10:43.5,643.489,10:45.2,645.236,00:01.7,1.747
uncertain,,11:06.1,666.101,11:06.7,666.672,00:00.6,0.571
uncertain,,11:09.5,669.528,11:12.3,672.317,00:02.8,2.789
uncertain,,11:26.0,685.991,11:28.5,688.545,00:02.6,2.554
uncertain,,11:35.0,694.996,11:37.5,697.516,00:02.5,2.52
