object,,start,start_sec,end,end_sec,duration,duration_sec
dice,,00:01.5,1.478,00:02.9,2.861,00:01.4,1.383
dice,,00:22.2,22.241,00:24.9,24.913,00:02.7,2.672
dice,,00:52.4,52.419,00:55.0,55.002,00:02.6,2.583
key,,00:05.3,5.306,00:07.1,7.053,00:01.7,1.747
key,,00:57.1,57.07,00:58.7,58.7,00:01.6,1.63
map,,00:08.7,8.669,00:10.8,10.753,00:02.1,2.084
map,,00:40.5,40.482,00:42.7,42.663,00:02.2,2.181
map,,01:01.1,61.127,01:02.9,62.861,00:01.7,1.734
ball,,00:17.2,17.249,00:20.2,20.165,00:02.9,2.916
ball,,00:26.6,26.552,00:29.7,29.738,00:03.2,3.186
ball,,00:49.1,49.057,00:51.7,51.67,00:02.6,2.613
card,,00:12.9,12.868,00:14.7,14.728,00:01.9,1.86
card,,00:30.9,30.921,00:34.4,34.362,00:03.4,3.441
card,,00:44.6,44.568,00:47.0,47.036,00:02.5,2.468
card,,01:04.6,64.634,01:05.3,65.275,00:00.6,0.641
face,,00:03.0,3.006,00:04.4,4.431,00:01.4,1.425
face,,00:20.4,20.383,00:20.5,20.55,00:00.2,0.167
face,,00:25.2,25.173,00:25.3,25.341,00:00.2,0.168
face,,00:30.0,30.015,00:30.3,30.283,00:00.3,0.268
face,,00:47.4,47.414,00:47.8,47.784,00:00.4,0.37
face,,00:55.5,55.501,00:56.8,56.812,00:01.3,1.311
uncertain,,00:35.9,35.946,00:38.5,38.49,00:02.5,2.544
