object,,start,start_sec,end,end_sec,duration,duration_sec
dice,,00:00.4,0.388,00:03.5,3.523,00:03.1,3.135
dice,,00:18.4,18.433,00:19.1,19.09,00:00.7,0.657
dice,,00:19.2,19.189,00:20.9,20.935,00:01.7,1.746
dice,,00:40.9,40.856,00:41.7,41.695,00:00.8,0.839
dice,,00:41.8,41.827,00:43.0,43.039,00:01.2,1.212
dice,,00:43.2,43.204,00:43.6,43.557,00:00.4,0.353
dice,,00:59.4,59.412,00:59.8,59.769,00:00.4,0.357
dice,,01:19.7,79.739,01:20.0,80.03,00:00.3,0.291
dice,,01:20.2,80.228,01:21.6,81.578,00:01.4,1.35
dice,,01:38.8,98.837,01:41.1,101.075,00:02.2,2.238
dice,,02:25.1,145.127,02:25.3,145.288,00:00.2,0.161
dice,,02:25.5,145.453,02:31.6,151.552,00:06.1,6.099
dice,,03:18.7,198.696,03:18.9,198.86,00:00.2,0.164
dice,,03:23.2,203.165,03:26.1,206.061,00:02.9,2.896
dice,,03:29.4,209.45,03:29.8,209.776,00:00.3,0.326
dice,,03:46.4,226.401,03:47.3,227.29,00:00.9,0.889
dice,,04:49.9,289.931,04:54.3,294.28,00:04.3,4.349
dice,,05:17.7,317.716,05:18.3,318.272,00:00.6,0.556
dice,,05:18.7,318.695,05:21.9,321.891,00:03.2,3.196
dice,,05:37.9,337.945,05:38.2,338.17,00:00.2,0.225
uncertain,,00:12.8,12.798,00:13.0,13.028,00:00.2,0.23
uncertain,,00:47.4,47.435,00:47.8,47.762,00:00.3,0.327
uncertain,,00:51.2,51.201,00:51.6,51.554,00:00.4,0.353
uncertain,,00:59.9,59.907,01:01.3,61.275,00:01.4,1.368
uncertain,,01:07.3,67.346,01:07.9,67.938,00:00.6,0.592
uncertain,,01:10.4,70.381,01:10.6,70.612,00:00.2,0.231
uncertain,,01:16.5,76.484,01:17.0,77.01,00:00.5,0.526
uncertain,,01:29.3,89.322,01:30.6,90.606,00:01.3,1.284
uncertain,,01:33.0,93.015,01:34.0,94.043,00:01.0,1.028
uncertain,,01:49.3,109.312,01:49.8,109.84,00:00.5,0.528
uncertain,,01:49.9,109.928,01:51.9,111.877,00:01.9,1.949
uncertain,,01:55.8,115.844,01:56.6,116.624,00:00.8,0.78
uncertain,,02:39.0,158.977,02:40.1,160.099,00:01.1,1.122
uncertain,,02:40.3,160.343,02:40.5,160.508,00:00.2,0.165
