object,,start,start_sec,end,end_sec,duration,duration_sec
ball,,00:23.3,23.3,00:26.5,26.49,00:03.2,3.19
ball,,00:26.8,26.754,00:27.0,27.011,00:00.3,0.257
ball,,00:27.3,27.289,00:28.6,28.559,00:01.3,1.27
ball,,00:45.2,45.234,00:45.9,45.948,00:00.7,0.714
ball,,00:57.6,57.628,01:00.3,60.274,00:02.6,2.646
ball,,01:00.8,60.8,01:01.0,61.037,00:00.2,0.237
ball,,01:32.6,92.582,01:33.5,93.521,00:00.9,0.939
ball,,01:40.5,100.51,01:41.7,101.749,00:01.2,1.239
ball,,01:49.0,108.972,01:50.3,110.29,00:01.3,1.318
ball,,02:03.4,123.369,02:03.6,123.551,00:00.2,0.182
ball,,02:26.4,146.398,02:27.4,147.402,00:01.0,1.004
ball,,02:35.0,154.973,02:37.0,157.011,00:02.0,2.038
ball,,03:01.7,181.679,03:02.7,182.676,00:01.0,0.997
ball,,03:10.5,190.487,03:11.3,191.281,00:00.8,0.794
ball,,03:14.4,194.433,03:15.4,195.389,00:01.0,0.956
ball,,03:28.6,208.568,03:30.1,210.15,00:01.6,1.582
ball,,03:36.4,216.423,03:37.7,217.708,00:01.3,1.285
ball,,03:46.3,226.312,03:48.8,228.771,00:02.5,2.459
ball,,04:11.0,251.038,04:12.4,252.38,00:01.3,1.342
ball,,04:17.9,257.904,04:19.5,259.463,00:01.6,1.559
ball,,04:30.8,270.753,04:32.4,272.421,00:01.7,1.668
ball,,04:37.9,277.894,04:38.9,278.869,00:01.0,0.975
ball,,04:43.8,283.762,04:44.3,284.305,00:00.5,0.543
ball,,04:50.1,290.141,04:52.5,292.48,00:02.3,2.339
ball,,05:04.1,304.073,05:05.4,305.429,00:01.4,1.356
card,,00:30.8,30.772,00:31.8,31.817,00:01.0,1.045
card,,01:05.2,65.171,01:06.0,65.998,00:00.8,0.827
card,,01:10.7,70.687,01:11.0,70.991,00:00.3,0.304
card,,01:36.5,96.51,01:37.4,97.434,00:00.9,0.924
card,,01:44.6,104.636,01:45.9,105.869,00:01.2,1.233
card,,02:06.6,126.616,02:07.1,127.129,00:00.5,0.513
card,,02:30.8,150.77,02:31.4,151.425,00:00.7,0.655
card,,02:31.7,151.738,02:32.2,152.217,00:00.5,0.479
card,,02:39.5,159.468,02:39.7,159.688,00:00.2,0.22
card,,02:40.0,159.956,02:40.9,160.896,00:00.9,0.94
card,,02:57.5,177.516,02:58.5,178.523,00:01.0,1.007
card,,03:05.8,185.825,03:06.9,186.854,00:01.0,1.029
card,,03:32.7,212.716,03:33.9,213.866,00:01.2,1.15
card,,03:42.5,222.465,03:43.2,223.235,00:00.8,0.77
card,,04:07.3,247.273,04:08.5,248.462,00:01.2,1.189
card,,04:14.1,254.075,04:15.9,255.922,00:01.8,1.847
card,,04:34.5,274.54,04:35.8,275.828,00:01.3,1.288
card,,04:41.0,280.98,04:41.8,281.756,00:00.8,0.776
card,,04:46.7,286.717,04:47.8,287.775,00:01.1,1.058
dice,,00:03.5,3.499,00:05.2,5.22,00:01.7,1.721
dice,,00:05.6,5.561,00:06.6,6.621,00:01.1,1.06
dice,,00:34.0,34.038,00:36.4,36.369,00:02.3,2.331
dice,,00:38.6,38.627,00:39.4,39.447,00:00.8,0.82
dice,,00:41.9,41.891,00:43.0,42.981,00:01.1,1.09
dice,,01:15.2,75.184,01:17.4,77.37,00:02.2,2.186
dice,,01:52.6,112.56,01:53.3,113.267,00:00.7,0.707
dice,,02:05.0,124.995,02:05.3,125.316,00:00.3,0.321
dice,,02:13.7,133.707,02:14.9,134.854,00:01.1,1.147
dice,,02:28.4,148.383,02:29.2,149.151,00:00.8,0.768
dice,,02:43.6,163.64,02:44.3,164.259,00:00.6,0.619
dice,,02:45.1,165.104,02:46.0,165.951,00:00.8,0.847
dice,,03:50.9,230.928,03:52.3,232.298,00:01.4,1.37
dice,,04:21.5,261.469,04:22.6,262.58,00:01.1,1.111
key,,00:49.7,49.745,00:51.1,51.069,00:01.3,1.324
key,,01:21.1,81.12,01:24.6,84.633,00:03.5,3.513
key,,01:55.9,115.898,01:57.2,117.24,00:01.3,1.342
key,,02:17.1,137.074,02:17.7,137.677,00:00.6,0.603
key,,02:49.0,168.962,02:50.9,170.886,00:01.9,1.924
key,,03:19.6,199.559,03:20.5,200.549,00:01.0,0.99
key,,03:56.3,236.331,03:56.5,236.532,00:00.2,0.201
key,,03:56.9,236.934,03:57.5,237.48,00:00.5,0.546
key,,04:25.1,265.118,04:26.2,266.241,00:01.1,1.123
key,,04:57.6,297.571,04:59.6,299.64,00:02.1,2.069
map,,00:15.1,15.054,00:19.0,19.022,00:04.0,3.968
map,,00:19.3,19.338,00:20.2,20.241,00:00.9,0.903
map,,00:53.7,53.726,00:55.1,55.133,00:01.4,1.407
map,,01:27.8,87.842,01:28.5,88.531,00:00.7,0.689
map,,01:28.8,88.826,01:29.1,89.104,00:00.3,0.278
map,,01:59.3,119.321,02:00.6,120.636,00:01.3,1.315
map,,02:21.6,141.575,02:22.8,142.755,00:01.2,1.18
map,,02:23.1,143.081,02:23.8,143.752,00:00.7,0.671
map,,02:53.6,173.555,02:54.9,174.865,00:01.3,1.31
map,,03:23.9,203.944,03:26.1,206.113,00:02.2,2.169
map,,03:59.5,239.465,03:59.8,239.783,00:00.3,0.318
map,,04:00.7,240.723,04:01.3,241.328,00:00.6,0.605
map,,05:01.1,301.128,05:02.5,302.474,00:01.3,1.346
uncertain,,00:06.6,6.621,00:06.7,6.688,00:00.1,0.067
uncertain,,00:07.6,7.649,00:11.5,11.53,00:03.9,3.881
uncertain,,00:13.1,13.052,00:14.0,13.962,00:00.9,0.91
uncertain,,01:27.5,87.458,01:27.8,87.842,00:00.4,0.384
uncertain,,01:29.1,89.122,01:29.2,89.173,00:00.1,0.051
uncertain,,01:36.1,96.121,01:36.5,96.527,00:00.4,0.406
uncertain,,01:40.4,100.354,01:40.5,100.522,00:00.2,0.168
uncertain,,02:12.5,132.531,02:13.7,133.677,00:01.1,1.146
uncertain,,02:23.8,143.752,02:23.8,143.82,00:00.1,0.068
uncertain,,02:32.2,152.217,02:32.3,152.284,00:00.1,0.067
uncertain,,04:03.6,243.583,04:05.2,245.237,00:01.7,1.654
uncertain,,04:40.7,280.654,04:41.0,280.989,00:00.3,0.335
uncertain,,04:54.4,294.39,04:56.1,296.06,00:01.7,1.67
